"id_people","id_date","id_games","word_sent","score","amount_attempts"
1,30062022,1,"contratados",0.4545,1
1,30062022,1,"coldeportes",1,2
1,30062022,2,"artificios",0.4,1
1,30062022,2,"exoergicas",1,2
1,30062022,3,"continentales",0.3077,1
1,30062022,3,"productividad",1,2
1,30062022,4,"cortadas",0.125,1
1,30062022,4,"heinrich",1,2
1,30062022,5,"copernicanas",0.25,1
1,30062022,5,"interseccion",1,2
1,30062022,6,"contratados",0.4545,1
1,30062022,6,"perpetradas",0.7273,2
1,30062022,6,"registradas",1,3
1,30062022,7,"caras",0.4,1
1,30062022,7,"trama",0.2,2
1,30062022,7,"gearr",0.6,3
1,30062022,7,"pearl",1,4
1,30062022,8,"decidida",0.25,1
1,30062022,8,"ereccion",0.5,2
1,30062022,8,"conexion",1,3
1,30062022,9,"decidida",0.25,1
1,30062022,9,"pioneros",0.5,2
1,30062022,9,"prefiere",1,3
1,30062022,10,"deficitarios",0.5,1
1,30062022,10,"deliberacion",1,2
1,30062022,11,"caras",0.8,1
1,30062022,11,"capas",0.8,2
1,30062022,11,"cañas",1,3
1,30062022,12,"peloritanos",0.4545,1
1,30062022,12,"ortogonales",1,2
1,30062022,13,"contras",0.4286,1
1,30062022,13,"troncos",1,2
1,30062022,14,"camaras",0.1429,1
1,30062022,14,"espalda",0.4286,2
1,30062022,14,"shuanna",1,3
1,30062022,15,"antirio",0.1429,1
1,30062022,15,"polonia",0.7143,2
1,30062022,15,"suponia",0.7143,3
1,30062022,15,"exponia",1,4
1,30062022,16,"antirio",0.4286,1
1,30062022,16,"tuberia",1,2
1,30062022,17,"representativos",0.3333,1
1,30062022,17,"intertropicales",1,2
1,30062022,18,"generadas",0.2222,1
1,30062022,18,"perdieron",0.4444,2
1,30062022,18,"reduccion",1,3
1,30062022,19,"caras",0,1
1,30062022,19,"ponen",0.2,2
1,30062022,19,"jebel",0.6,3
1,30062022,19,"bebed",1,4
1,30062022,20,"peloritanos",0.3636,1
1,30062022,20,"celosamente",1,2
1,19072022,21,"deportaciones",0.2308,1
1,19072022,21,"ambientalista",0.5385,2
1,19072022,21,"antifeminista",1,3
1,19072022,22,"camaras",0.1429,1
1,19072022,22,"destino",0.4286,2
1,19072022,22,"silbido",1,3
1,19072022,23,"contentos",0.3333,1
1,19072022,23,"ombudsman",0.2222,2
1,19072022,23,"bronislaw",1,3
1,19072022,24,"enlentecimiento",0.3333,1
1,19072022,24,"consolidaciones",1,2
1,19072022,25,"destinadas",0.4,1
1,19072022,25,"fertilizar",0.7,2
1,19072022,25,"certificar",1,3
1,19072022,26,"artificios",0.3,1
1,19072022,26,"introducia",1,2
1,19072022,27,"estacionaria",0.5,1
1,19072022,27,"biopirateria",1,2
1,19072022,28,"generadas",0.5556,1
1,19072022,28,"veracidad",1,2
