"id_attemp","id_game","id","word_sent","score","datetime","position_array","amount_letters_in_wrong_positions","current_attemps","attempt_time"
2,1,"62ccb41d66dccd82d03c4cc1","posibilito",0.3,"2022-07-11T23:37:04.359829","{false,true,false,false,false,true,false,false,false,false}",2,2,0
3,1,"62ccb41d66dccd82d03c4cc1","adhirieron",0.2,"2022-07-11T23:37:03.299889","{false,false,false,false,false,true,false,false,false,false}",3,1,0.00899362564086914
4,2,"62ccde59ffeaf90b48f39051","fisionable",1,"2022-07-12T02:37:16.268293","{true,true,true,true,true,true,true,true,true,true}",0,3,0
5,2,"62ccde59ffeaf90b48f39051","fusionando",0.6,"2022-07-12T02:37:15.486290","{true,false,true,true,true,true,true,false,false,false}",0,2,0.001997232437133789
6,2,"62ccde59ffeaf90b48f39051","monetarios",0.2,"2022-07-12T02:37:14.704010","{false,false,false,false,false,false,false,false,false,false}",6,1,0.0099945068359375
7,1,"62cc7a6f15e8ce9a5cbe1508","julian",1,"2022-07-11T19:30:58.438205","{true,true,true,true,true,true}",0,4,0.0010249886322021484
8,1,"62cc7a6f15e8ce9a5cbe1508","julius",0.6666667,"2022-07-11T19:30:57.660301","{true,true,true,true,false,false}",0,3,0.0010449886322021484
9,1,"62cc7a6f15e8ce9a5cbe1508","cabria",0.33333334,"2022-07-11T19:30:56.900558","{false,false,false,false,false,false}",2,2,0.0009987354278564453
10,1,"62cc7a6f15e8ce9a5cbe1508","metano",0.33333334,"2022-07-11T19:30:56.158212","{false,false,false,false,false,false}",2,1,0.007995843887329102
11,4,"62cce089eab9eaec24c9b369","cecina",1,"2022-07-12T02:46:36.306194","{true,true,true,true,true,true}",0,4,0
12,4,"62cce089eab9eaec24c9b369","escasa",0.33333334,"2022-07-12T02:46:35.568191","{false,false,true,false,false,true}",1,3,0
13,4,"62cce089eab9eaec24c9b369","micala",0.33333334,"2022-07-12T02:46:34.809062","{false,false,true,false,false,true}",1,2,0
14,4,"62cce089eab9eaec24c9b369","orenda",0.5,"2022-07-12T02:46:34.067601","{false,false,false,false,false,true}",2,1,0.002093076705932617
15,5,"62cd73fa721debaa6dfa57dc","mixiotes",1,"2022-07-12T13:15:40.835197","{true,true,true,true,true,true,true,true}",0,3,0
16,5,"62cd73fa721debaa6dfa57dc","cirilico",0.375,"2022-07-12T13:15:40.058325","{false,true,false,true,false,false,false,false}",1,2,0.0010495185852050781
17,5,"62cd73fa721debaa6dfa57dc","sapienza",0.25,"2022-07-12T13:15:39.317167","{false,false,false,true,false,false,false,false}",2,1,0.0069501399993896484
19,9,"62cde947d4db89cab5f40a93","desencantados",1,"2022-07-12T21:36:09.413116","{true,true,true,true,true,true,true,true,true,true,true,true,true}",0,2,0
20,9,"62cde947d4db89cab5f40a93","circumalpinas",0.07692308,"2022-07-12T21:36:08.549792","{false,false,false,false,false,false,true,false,false,false,false,false,true}",3,1,0.0029997825622558594
29,15,"62cf749c1e568313f37e8b4b","limpiado",1,"2022-07-14T01:42:56.240858","{true,true,true,true,true,true,true,true}",0,4,0
30,15,"62cf749c1e568313f37e8b4b","adaptado",0.5,"2022-07-14T01:42:55.437706","{false,false,false,true,false,true,true,true}",0,3,0.0019426345825195312
21,10,"62cdea5541611ee2a099ae38","europea",1,"2022-07-12T21:40:39.830480","{true,true,true,true,true,true,true}",0,2,0
22,10,"62cdea5541611ee2a099ae38","acaecio",0.2857143,"2022-07-12T21:40:38.491481","{false,false,false,false,false,false,false}",3,1,0
23,11,"62cdea7541611ee2a099ae3c","escenicos",1,"2022-07-12T21:41:12.170927","{true,true,true,true,true,true,true,true,true}",0,3,0
24,11,"62cdea7541611ee2a099ae3c","metodicas",0.44444445,"2022-07-12T21:41:11.145700","{false,false,false,false,false,true,true,false,true}",2,2,0.0019392967224121094
25,11,"62cdea7541611ee2a099ae3c","prisiones",0.22222222,"2022-07-12T21:41:10.165729","{false,false,false,false,false,false,false,false,true}",5,1,0.015974760055541992
1,1,"62ccb41d66dccd82d03c4cc1","conexiones",1,"2022-07-11T23:37:07.277403","{true,true,true,true,true,true,true,true,true,true}",0,3,0
26,13,"62cdef64b35f16960511733f","justificaciones",1,"2022-07-12T22:02:13.869833","{true,true,true,true,true,true,true,true,true,true,true,true,true,true,true}",0,1,0
27,14,"62cdf01bb35f169605117342","asimilado",1,"2022-07-12T22:05:17.036580","{true,true,true,true,true,true,true,true,true}",0,2,0
28,14,"62cdf01bb35f169605117342","autentica",0.33333334,"2022-07-12T22:05:16.224030","{true,false,false,false,false,false,false,false,false}",2,1,0.0039958953857421875
31,15,"62cf749c1e568313f37e8b4b","azufrado",0.375,"2022-07-14T01:42:54.557754","{false,false,false,false,false,true,true,true}",0,2,0
32,15,"62cf749c1e568313f37e8b4b","padecido",0.5,"2022-07-14T01:42:53.797936","{false,false,false,false,false,false,true,true}",3,1,0.0010006427764892578
33,16,"62cf74ad1e568313f37e8b51","recordando",1,"2022-07-14T01:43:12.139775","{true,true,true,true,true,true,true,true,true,true}",0,3,0
34,16,"62cf74ad1e568313f37e8b51","vendedores",0.2,"2022-07-14T01:43:11.377886","{false,true,false,false,false,true,false,false,false,false}",4,2,0
35,16,"62cf74ad1e568313f37e8b51","cumplirian",0.3,"2022-07-14T01:43:10.457636","{false,false,false,false,false,false,false,false,false,false}",4,1,0
36,17,"62cf74e31e568313f37e8b5d","conceptual",1,"2022-07-14T01:44:07.298756","{true,true,true,true,true,true,true,true,true,true}",0,4,0
37,17,"62cf74e31e568313f37e8b5d","contextual",0.8,"2022-07-14T01:44:06.378532","{true,true,true,false,true,false,true,true,true,true}",0,3,0
38,17,"62cf74e31e568313f37e8b5d","conectando",0.6,"2022-07-14T01:44:05.442476","{true,true,true,false,false,false,false,false,false,false}",4,2,0
39,17,"62cf74e31e568313f37e8b5d","berlineses",0.2,"2022-07-14T01:44:04.618876","{false,false,false,false,false,false,false,false,false,false}",3,1,0.0010640621185302734
40,18,"62cf75001e568313f37e8b63","rodeadas",1,"2022-07-14T01:44:36.501420","{true,true,true,true,true,true,true,true}",0,4,0
41,18,"62cf75001e568313f37e8b63","rodeados",0.875,"2022-07-14T01:44:35.457390","{true,true,true,true,true,true,false,true}",0,3,0
42,18,"62cf75001e568313f37e8b63","rodearon",0.625,"2022-07-14T01:44:34.517427","{true,true,true,true,true,false,false,false}",0,2,0
43,18,"62cf75001e568313f37e8b63","ruralizo",0.25,"2022-07-14T01:44:32.999726","{true,false,false,false,false,false,false,false}",2,1,0
44,19,"62cf75121e568313f37e8b69","germinar",1,"2022-07-14T01:44:53.877424","{true,true,true,true,true,true,true,true}",0,3,0
45,19,"62cf75121e568313f37e8b69","lentejas",0.375,"2022-07-14T01:44:52.761816","{false,true,false,false,false,false,true,false}",1,2,0.0010056495666503906
46,19,"62cf75121e568313f37e8b69","demarcan",0.5,"2022-07-14T01:44:51.743573","{false,true,false,false,false,false,true,false}",3,1,0.005554914474487305
47,20,"62cf75221e568313f37e8b6e","ejercicios",1,"2022-07-14T01:45:09.363172","{true,true,true,true,true,true,true,true,true,true}",0,3,0
48,20,"62cf75221e568313f37e8b6e","indecision",0.5,"2022-07-14T01:45:08.519667","{false,false,false,false,true,true,false,true,true,false}",2,2,0
49,20,"62cf75221e568313f37e8b6e","posibilita",0.2,"2022-07-14T01:45:07.577408","{false,false,false,false,false,true,false,true,false,false}",2,1,0
50,21,"62cf75311e568313f37e8b73","salirse",1,"2022-07-14T01:45:26.058938","{true,true,true,true,true,true,true}",0,5,0
51,21,"62cf75311e568313f37e8b73","calidas",0.5714286,"2022-07-14T01:45:25.183060","{false,true,true,true,false,false,false}",1,4,0
52,21,"62cf75311e568313f37e8b73","valvula",0.2857143,"2022-07-14T01:45:24.400664","{false,true,true,false,false,false,false}",0,3,0
53,21,"62cf75311e568313f37e8b73","ballena",0.42857143,"2022-07-14T01:45:23.484188","{false,true,true,false,false,false,false}",1,2,0
54,21,"62cf75311e568313f37e8b73","palazzo",0.2857143,"2022-07-14T01:45:22.224455","{false,true,true,false,false,false,false}",0,1,0
55,22,"62cf75821e568313f37e8b7a","componian",1,"2022-07-14T01:46:45.421639","{true,true,true,true,true,true,true,true,true}",0,3,0
56,22,"62cf75821e568313f37e8b7a","convocada",0.44444445,"2022-07-14T01:46:44.461633","{true,true,false,false,true,false,false,false,false}",2,2,0
57,22,"62cf75821e568313f37e8b7a","cubiertos",0.22222222,"2022-07-14T01:46:43.625492","{true,false,false,false,false,false,false,false,false}",2,1,0.019142627716064453
58,23,"62cf75911e568313f37e8b7f","ausente",1,"2022-07-14T01:47:01.505746","{true,true,true,true,true,true,true}",0,4,0
59,23,"62cf75911e568313f37e8b7f","austera",0.71428573,"2022-07-14T01:47:00.461780","{true,true,true,false,false,false,false}",2,3,0
60,23,"62cf75911e568313f37e8b7f","bauhaus",0.42857143,"2022-07-14T01:46:59.521804","{false,false,false,false,false,false,false}",3,2,0
61,23,"62cf75911e568313f37e8b7f","invadio",0.14285715,"2022-07-14T01:46:58.703895","{false,false,false,false,false,false,false}",2,1,0
62,24,"62cf75a11e568313f37e8b85","kioto",1,"2022-07-14T01:47:19.919420","{true,true,true,true,true}",0,3,0
63,24,"62cf75a11e568313f37e8b85","ipuur",0.2,"2022-07-14T01:47:18.921804","{false,false,false,false,false}",1,2,0
64,24,"62cf75a11e568313f37e8b85","omaha",0.2,"2022-07-14T01:47:17.741638","{false,false,false,false,false}",1,1,0
65,25,"62cf75b11e568313f37e8b8a","oleo",1,"2022-07-14T01:47:32.002641","{true,true,true,true}",0,3,0
66,25,"62cf75b11e568313f37e8b8a","egeo",0.5,"2022-07-14T01:47:31.146550","{false,false,true,true}",0,2,0
67,25,"62cf75b11e568313f37e8b8a","idea",0.25,"2022-07-14T01:47:30.363069","{false,false,true,false}",0,1,0
68,26,"62cf76121e568313f37e8b8f","marido",1,"2022-07-14T01:49:09.983676","{true,true,true,true,true,true}",0,4,0.0018532276153564453
69,26,"62cf76121e568313f37e8b8f","minado",0.6666667,"2022-07-14T01:49:09.183837","{true,false,false,false,true,true}",2,3,0
70,26,"62cf76121e568313f37e8b8f","acabar",0.33333334,"2022-07-14T01:49:08.241396","{false,false,false,false,false,false}",2,2,0
71,26,"62cf76121e568313f37e8b8f","leerse",0.16666667,"2022-07-14T01:49:07.283739","{false,false,false,false,false,false}",1,1,0
