"game_id","attempt_index","in_game_index","score","word_sent","test_req_time","test_res_time","server_test_time","attempt_start_time","attempt_end_time"
"62bd3bd80df7cf3f134400e7",1,1,0.4545,"contratados","2022-06-30T05:59:53.123627","2022-06-30T05:59:53.123627","2022-06-30T05:59:53.123627","2022-06-30T05:59:53.123627","2022-06-30T05:59:53.123627"
"62bd3bd80df7cf3f134400e7",2,2,1,"coldeportes","2022-06-30T05:59:53.565142","2022-06-30T05:59:53.565142","2022-06-30T05:59:53.565142","2022-06-30T05:59:53.565142","2022-06-30T05:59:53.565142"
"62bd3bda0df7cf3f134400eb",3,1,0.4,"artificios","2022-06-30T05:59:54.847527","2022-06-30T05:59:54.847527","2022-06-30T05:59:54.847527","2022-06-30T05:59:54.847527","2022-06-30T05:59:54.847527"
"62bd3bda0df7cf3f134400eb",4,2,1,"exoergicas","2022-06-30T05:59:55.325685","2022-06-30T05:59:55.325685","2022-06-30T05:59:55.325685","2022-06-30T05:59:55.325685","2022-06-30T05:59:55.325685"
"62bd3bdc0df7cf3f134400ef",5,1,0.3077,"continentales","2022-06-30T05:59:56.465479","2022-06-30T05:59:56.465479","2022-06-30T05:59:56.465479","2022-06-30T05:59:56.465479","2022-06-30T05:59:56.465479"
"62bd3bdc0df7cf3f134400ef",6,2,1,"productividad","2022-06-30T05:59:56.887641","2022-06-30T05:59:56.887641","2022-06-30T05:59:56.887641","2022-06-30T05:59:56.887641","2022-06-30T05:59:56.887641"
"62bd3bdd0df7cf3f134400f3",7,1,0.125,"cortadas","2022-06-30T05:59:58.207174","2022-06-30T05:59:58.207174","2022-06-30T05:59:58.207174","2022-06-30T05:59:58.207174","2022-06-30T05:59:58.207174"
"62bd3bdd0df7cf3f134400f3",8,2,1,"heinrich","2022-06-30T05:59:58.648645","2022-06-30T05:59:58.648645","2022-06-30T05:59:58.648645","2022-06-30T05:59:58.648645","2022-06-30T05:59:58.648645"
"62bd3bdf0df7cf3f134400f7",9,1,0.25,"copernicanas","2022-06-30T05:59:59.925396","2022-06-30T05:59:59.925396","2022-06-30T05:59:59.925396","2022-06-30T05:59:59.925396","2022-06-30T05:59:59.925396"
"62bd3bdf0df7cf3f134400f7",10,2,1,"interseccion","2022-06-30T06:00:00.384907","2022-06-30T06:00:00.384907","2022-06-30T06:00:00.384907","2022-06-30T06:00:00.384907","2022-06-30T06:00:00.384907"
"62bd3be10df7cf3f134400fb",11,1,0.4545,"contratados","2022-06-30T06:00:01.707543","2022-06-30T06:00:01.707543","2022-06-30T06:00:01.707543","2022-06-30T06:00:01.707543","2022-06-30T06:00:01.707543"
"62bd3be10df7cf3f134400fb",12,2,0.7273,"perpetradas","2022-06-30T06:00:02.185790","2022-06-30T06:00:02.185790","2022-06-30T06:00:02.185790","2022-06-30T06:00:02.185790","2022-06-30T06:00:02.185790"
"62bd3be10df7cf3f134400fb",13,3,1,"registradas","2022-06-30T06:00:02.647717","2022-06-30T06:00:02.647717","2022-06-30T06:00:02.647717","2022-06-30T06:00:02.647717","2022-06-30T06:00:02.647717"
"62bd3be30df7cf3f13440100",14,1,0.4,"caras","2022-06-30T06:00:04.465750","2022-06-30T06:00:04.465750","2022-06-30T06:00:04.465750","2022-06-30T06:00:04.465750","2022-06-30T06:00:04.465750"
"62bd3be30df7cf3f13440100",15,2,0.2,"trama","2022-06-30T06:00:04.967516","2022-06-30T06:00:04.967516","2022-06-30T06:00:04.967516","2022-06-30T06:00:04.967516","2022-06-30T06:00:04.967516"
"62bd3be30df7cf3f13440100",16,3,0.6,"gearr","2022-06-30T06:00:05.405665","2022-06-30T06:00:05.405665","2022-06-30T06:00:05.405665","2022-06-30T06:00:05.405665","2022-06-30T06:00:05.405665"
"62bd3be30df7cf3f13440100",17,4,1,"pearl","2022-06-30T06:00:05.823582","2022-06-30T06:00:05.823582","2022-06-30T06:00:05.823582","2022-06-30T06:00:05.823582","2022-06-30T06:00:05.823582"
"62bd3be60df7cf3f13440106",18,1,0.25,"decidida","2022-06-30T06:00:07.326131","2022-06-30T06:00:07.326131","2022-06-30T06:00:07.326131","2022-06-30T06:00:07.326131","2022-06-30T06:00:07.326131"
"62bd3be60df7cf3f13440106",19,2,0.5,"ereccion","2022-06-30T06:00:07.805649","2022-06-30T06:00:07.805649","2022-06-30T06:00:07.805649","2022-06-30T06:00:07.805649","2022-06-30T06:00:07.805649"
"62bd3be60df7cf3f13440106",20,3,1,"conexion","2022-06-30T06:00:08.243920","2022-06-30T06:00:08.243920","2022-06-30T06:00:08.243920","2022-06-30T06:00:08.243920","2022-06-30T06:00:08.243920"
"62bd3be90df7cf3f1344010b",21,1,0.25,"decidida","2022-06-30T06:00:09.767729","2022-06-30T06:00:09.767729","2022-06-30T06:00:09.767729","2022-06-30T06:00:09.767729","2022-06-30T06:00:09.767729"
"62bd3be90df7cf3f1344010b",22,2,0.5,"pioneros","2022-06-30T06:00:10.286232","2022-06-30T06:00:10.286232","2022-06-30T06:00:10.286232","2022-06-30T06:00:10.286232","2022-06-30T06:00:10.286232"
"62bd3be90df7cf3f1344010b",23,3,1,"prefiere","2022-06-30T06:00:10.709540","2022-06-30T06:00:10.709540","2022-06-30T06:00:10.709540","2022-06-30T06:00:10.709540","2022-06-30T06:00:10.709540"
"62bd3beb0df7cf3f13440110",24,1,0.5,"deficitarios","2022-06-30T06:00:11.948811","2022-06-30T06:00:11.948811","2022-06-30T06:00:11.948811","2022-06-30T06:00:11.948811","2022-06-30T06:00:11.948811"
"62bd3beb0df7cf3f13440110",25,2,1,"deliberacion","2022-06-30T06:00:12.387721","2022-06-30T06:00:12.387721","2022-06-30T06:00:12.387721","2022-06-30T06:00:12.387721","2022-06-30T06:00:12.387721"
"62bd3bed0df7cf3f13440114",26,1,0.8,"caras","2022-06-30T06:00:13.708902","2022-06-30T06:00:13.708902","2022-06-30T06:00:13.708902","2022-06-30T06:00:13.708902","2022-06-30T06:00:13.708902"
"62bd3bed0df7cf3f13440114",27,2,0.8,"capas","2022-06-30T06:00:14.207962","2022-06-30T06:00:14.207962","2022-06-30T06:00:14.207962","2022-06-30T06:00:14.207962","2022-06-30T06:00:14.207962"
"62bd3bed0df7cf3f13440114",28,3,1,"cañas","2022-06-30T06:00:14.627057","2022-06-30T06:00:14.627057","2022-06-30T06:00:14.627057","2022-06-30T06:00:14.627057","2022-06-30T06:00:14.627057"
"62bd3bef0df7cf3f13440119",29,1,0.4545,"peloritanos","2022-06-30T06:00:15.925949","2022-06-30T06:00:15.925949","2022-06-30T06:00:15.925949","2022-06-30T06:00:15.925949","2022-06-30T06:00:15.925949"
