attempt_id,game_id,word_sent,score,date,time,current_attemps,position_array,right_letters_in_wrong_positions
28,10,comenta,0.29,2022-07-12,16:21:31.810212,1,"{0,0,0,1,0,0,0}","{c,o}"
29,10,judesco,0.57,2022-07-12,16:21:32.628427,2,"{0,1,0,1,1,0,0}","{c,o}"
30,10,sucesor,1.0,2022-07-12,16:21:33.406153,3,"{1,1,1,1,1,1,1}",{}
31,11,comed,0.4,2022-07-17,19:08:59.690201,1,"{0,0,0,0,0}","{o,m,e}"
32,11,menor,0.6,2022-07-17,19:09:00.527308,2,"{1,1,0,0,0}","{o,r}"
33,11,metro,1.0,2022-07-17,19:09:01.264188,3,"{1,1,1,1,1}",{}
34,12,completan,0.22,2022-07-17,19:09:19.147841,1,"{0,0,0,0,0,0,0,1,0}","{o,l}"
35,12,florisbad,1.0,2022-07-17,19:09:19.947653,2,"{1,1,1,1,1,1,1,1,1}",{}
36,13,profetica,0.33,2022-07-17,19:09:28.04474,1,"{0,0,0,0,0,0,0,0,0}","{o,e,t,i,c}"
37,13,lectionum,0.33,2022-07-17,19:09:28.851377,2,"{0,0,0,1,1,0,1,0,0}","{e,c,o}"
38,13,contienen,1.0,2022-07-17,19:09:29.666877,3,"{1,1,1,1,1,1,1,1,1}",{}
39,14,estimulando,0.45,2022-07-17,19:09:42.647675,1,"{0,0,1,1,0,1,0,0,0,0,0}","{s,l,a,n,d,o}"
40,14,latifundios,1.0,2022-07-17,19:09:43.369727,2,"{1,1,1,1,1,1,1,1,1,1,1}",{}
41,15,profetica,0.44,2022-07-17,19:09:51.791346,1,"{1,1,0,0,0,0,1,0,1}",{e}
42,15,prealpina,1.0,2022-07-17,19:09:52.544854,2,"{1,1,1,1,1,1,1,1,1}",{}
43,16,comed,0.4,2022-07-17,19:09:57.907349,1,"{0,1,0,0,0}",{e}
44,16,noble,0.4,2022-07-17,19:09:58.784414,2,"{0,1,0,0,1}",{}
45,16,jorge,1.0,2022-07-17,19:09:59.512035,3,"{1,1,1,1,1}",{}
46,17,estipulado,0.3,2022-07-17,19:10:05.78794,1,"{0,0,0,0,0,0,0,0,0,0}","{e,s,i,u,a}"
47,17,unificarse,0.6,2022-07-17,19:10:06.550651,2,"{0,0,0,0,0,0,1,1,1,1}","{u,i,f}"
48,17,refugiarse,1.0,2022-07-17,19:10:07.319962,3,"{1,1,1,1,1,1,1,1,1,1}",{}
49,18,comenta,0.29,2022-07-17,19:10:13.345261,1,"{0,0,0,0,0,0,0}","{e,t,a}"
50,18,adultez,0.14,2022-07-17,19:10:14.050477,2,"{0,0,0,0,0,1,0}","{a,l,t}"
51,18,vitales,0.57,2022-07-17,19:10:14.745249,3,"{0,0,0,0,1,1,1}","{t,a}"
